0,tonight at pm bluegrass datascience group meet  to talk on code review cant wait lexington kentucky ruby python r 
0, im going to use that feature on every python program in github no self respecting language depend on w  
0,"syntaxerror with elif  python 

hello wanted ask here who my program not working

code

name  input if "
1,"  ranking popular deeplearning library for datascience
caffe dl kera python tensorflow  "
1,  siobhan kicking off the pydata evening at zalando  python bigdata dublin  
1,"interactive javascript dom introduction to the dom course
 data science python tableau  "
1,"ranking popular deeplearning library for datascience
caffe dl kera python tensorflow  "
1,"  the tensor network library bigdata datascience python mathematics programming tnt computerscience c
 "
1,  javascript from beginner to  data science python tableau sql r  
1,  javascript from beginner to  data_science python hadoop tableau r  
1,"  become an io developer from scratch
 data_science python hadoop tableau r  "
1,"  javascript for beginners
 datascience python hadoop tableau bigdata  "
1,"  what are the biggest challenge for a datascientist datascience
hadoop python bigdata "
1,javascript from beginner to  data science python tableau sql r  
1,javascript from beginner to  data_science python hadoop tableau r  
1,"become an io developer from scratch
 data_science python hadoop tableau r  "
1,"  python is the nd most popular language on github behind only javascript

measured by pull request programming  "
1,"javascript for beginners
 datascience python hadoop tableau bigdata  "
1,"python programming for network engineer cisco netmiko 
 datascience python hadoop  "
1,  scikitlearn cheat sheet for machinelearning with python  bigdata datascience by  
1,siobhan kicking off the pydata evening at zalando  python bigdata dublin  
1,"natural language processing with deep learning in python
 bigdata hadoop python sql  "
1,"the ultimate oracle sql course
 datascience python tableau  "
1,"the complete javascript course
 data science python tableau sql r  "
1,  tip top   full stack developer gig at   python javascript 
1,  connectivity foundation and allseen alliance team up javascript python  
1,connectivity foundation and allseen alliance team up javascript python  
1,"php mysql master from scratch with projects
 datascience python hadoop tableau  "
1,"  learn react by building real projects
 java angular rubyonrails php python javascript  "
1,"php for beginners
 data science python tableau sql r  "
1,"javascript for beginner  learn javascript from scratch
 data science python tableau  "
1,tip top   full stack developer gig at   python javascript 
2,  donald trump tweet analysed for mood detection with machinelearning  python  
2,  mesos coreos docker golang aws terraform python etcd haproxy more than lived up to the hype  th 
2,mesos coreos docker golang aws terraform python etcd haproxy more than lived up to the hype  the last  year 
2,  and were all set up and ready to absorb all the knowledge here at  datawrangling python panda o 
2,the python workbook a brief introduction with exercise and solution  book review  
2,   python meetup in barcelona happening right now thanks everyone for joining u  
2,join the envision team see our latest job opening here  python relocate nyc siliconvalley it stlouis mo 
2,donald trump tweet analysed for mood detection with machinelearning  python  
2, python meetup in barcelona happening right now thanks everyone for joining u  
2,python learn python advanced in  day and ace it well hand on challen   machine learning python  
2,how to add a border to your photo with python   python pillowproject 
2," best online course on development

 

ai datascientist makeyourownlane statistic  "
2,i scored  in python on  
2,"  an entire github org dedicated to learning by example 

cli text processing scripting python "
2,    example here  golang pypy python 
2,  advanced ansible tutorial  ansible devops software python business howto automation futu 
2,  deep learning  neural network with python  edtech datascience machinelearning a 
